code,airport_name
AAA,Anaa Airport
AAB,Arrabury Airport
AAC,El Arish International Airport
AAD,Adado Airport
AAE,Rabah Bitat Airport
AAF,Apalachicola Regional Airport
AAG,Arapoti Airport
AAH,Merzbrück Airport
AAI,Arraias Airport
AAJ,Cayana Airstrip
AAK,Aranuka Airport
AAL,Aalborg Airport
AAM,Mala Mala Airport
AAN,Al Ain International Airport
AAO,Anaco Airport
AAP,Aji Pangeran Tumenggung Pranoto International Airport
AAQ,Anapa Airport
AAR,Aarhus Airport
AAS,Apalapsili Airport
AAT,Altay Airport
AAU,Asau Airport
AAV,Allah Valley Airport
AAX,Araxá Airport
AAY,Al Ghaydah Airport
AAZ,Quetzaltenango Airport
ABA,Abakan International Airport
ABB,Asaba International Airport
ABC,Albacete Airport
ABD,Abadan International Airport
ABE,Lehigh Valley International Airport
ABF,Abaiang Atoll Airport
ABG,Abingdon Airport
ABH,Alpha Airport
ABI,Abilene Regional Airport
ABJ,Port Bouet Airport
ABK,Kabri Dar Airport
ABL,Ambler Airport
ABM,Northern Peninsula Airport
ABN,Albina Airstrip
ABO,Aboisso Airport
ABP,Atkamba Airport
ABQ,Albuquerque International Sunport
ABR,Aberdeen Regional Airport
ABS,Abu Simbel Airport
ABT,Al-Baha Domestic Airport
ABU,Haliwen Airport
ABV,Nnamdi Azikiwe International Airport
ABW,Abau Airport
ABX,Albury Airport
ABY,Southwest Georgia Regional Airport
ABZ,Aberdeen Airport
ACA,General Juan N. Álvarez International Airport
ACB,Antrim County Airport
ACC,Kotoka International Airport
ACD,Alcides Fernández Airport
ACE,Lanzarote Airport
ACH,St. Gallen–Altenrhein Airport
ACI,Alderney Airport
ACJ,Anuradhapura Airport
ACK,Nantucket Memorial Airport
ACL,Aguaclara Airport
ACM,Arica Airport
ACN,Ciudad Acuña International Airport
ACP,Sahand Airport
ACR,Araracuara Airport
ACS,Achinsk Airport
ACT,Waco Regional Airport
ACU,Achutupo Airport
ACV,Arcata-Eureka Airport
ACX,Xingyi Wanfenglin Airport
ACY,Atlantic City International Airport
ACZ,Zabol Airport
ADA,Adana Şakirpaşa Airport
ADB,Adnan Menderes Airport
ADC,Andakombe Airport
ADD,Bole International Airport
ADE,Aden International Airport
ADF,Adıyaman Airport
ADG,Lenawee County Airport
ADH,Aldan Airport
ADI,Arandis Airport
ADJ,Amman Civil Airport
ADK,Adak Airport
ADL,Adelaide Airport
ADM,Ardmore Municipal Airport
ADN,Andes Airport
ADO,Andamooka Airport
ADP,Ampara Airport
ADQ,Kodiak Airport
ADR,Robert F. Swinnie Airport
ADS,Addison Airport
ADT,Ada Municipal Airport
ADU,Ardabil Airport
ADV,Ed Daein Airport
ADW,Andrews Field
ADX,RAF Leuchars
ADY,Alldays Airport
ADZ,Gustavo Rojas Pinilla International Airport
AEA,Abemama Atoll Airport
AEB,Baise Bama Airport
AEE,Adareil Airport
AEG,Aek Godang Airport
AEH,Abéché Airport
AEK,Aseki Airport
AEL,Albert Lea Municipal Airport
AEM,Amgu Airport
AEO,Aioun el Atrouss Airport
AEP,Jorge Newbery Airpark
AEQ,Ar Horqin Airport
AER,Sochi International Airport
AES,"Ålesund Airport, Vigra"
AET,Allakaket Airport
AEU,Abu Musa Airport
AEX,Alexandria International Airport
AEY,Akureyri Airport
AFA,San Rafael Airport
AFD,Port Alfred Airport
AFF,United States Air Force Academy
AFI,Amalfi Airport
AFK,Kondavattavan Tank Seaplane Base
AFL,Alta Floresta Airport
AFN,Jaffrey Airport–Silver Ranch
AFO,Afton Municipal Airport
AFR,Afore Airport
AFS,Zarafshan Airport
AFT,Afutara Airport
AFW,Fort Worth Alliance Airport
AFY,Afyon Airport
AFZ,Sabzevar Airport
AGA,Agadir–Al Massira Airport
AGB,Augsburg Airport
AGC,Allegheny County Airport
AGD,Anggi Airport
AGE,Wangerooge Airfield
AGF,Agen La Garenne Airport
AGG,Angoram Airport
AGH,Ängelholm–Helsingborg Airport
AGI,Wageningen Airstrip
AGJ,Aguni Airport
AGK,Kagua Airport
AGL,Wanigela Airport
AGN,Angoon Seaplane Base
AGO,Magnolia Municipal Airport
AGP,Málaga Airport
AGQ,Agrinion Airport
AGR,Agra Airport
AGS,Augusta Regional Airport
AGT,Guaraní International Airport
AGU,Lic. Jesús Terán Peredo International Airport
AGV,Oswaldo Guevara Mujica Airport
AGW,Agnew Airport
AGX,Agatti Aerodrome
AGZ,Aggeneys Airport
AHB,Abha Regional Airport
AHC,Amedee Army Airfield
AHD,Ardmore Downtown Executive Airport
AHE,Ahe Airport
AHF,Arapahoe Municipal Airport
AHH,Amery Municipal Airport
AHI,Amahai Airport
AHJ,Hongyuan Airport
AHL,Aishalton Airport
AHM,Ashland Municipal Airport
AHN,Athens Ben Epps Airport
AHO,Alghero-Fertilia Airport
AHS,Ahuas Airport
AHU,Cherif Al Idrissi Airport
AHW,Saih Rawl Airport
AHY,Ambatolahy Airport
AHZ,Alpe d'Huez Airport
AIA,Alliance Municipal Airport
AIC,Ailinglaplap Airok Airport
AID,Anderson Municipal Airport
AIE,Aiome Airport
AIF,Assis Airport
AIG,Yalinga Airport
AIH,Aiambak Airport
AII,Ali-Sabieh Airport
AIK,Aiken Municipal Airport
AIL,Ailigandí Airport
AIM,Ailuk Airport
AIN,Wainwright Airport
AIO,Atlantic Municipal Airport
AIR,Aripuanã Airport
AIS,Arorae Island Airport
AIT,Aitutaki Airport
AIU,Enua Airport
AIV,George Downer Airport
AIW,Ai-Ais Airport
AIY,Atlantic City Municipal Airport
AIZ,Lee C. Fine Memorial Airport
AJA,Ajaccio Napoleon Bonaparte Airport
AJF,Al-Jawf Domestic Airport
AJI,Ağrı Airport
AJJ,Akjoujt Airport
AJK,Arak Airport
AJL,Lengpui Airport
AJN,Ouani Airport
AJR,Arvidsjaur Airport
AJS,Punta Abreojos Airstrip
AJU,Santa Maria Airport
AJY,Mano Dayak International Airport
AKA,Ankang Wulipu Airport
AKB,Atka Airport
AKC,Akron Fulton International Airport
AKD,Akola Airport
AKE,Akieni Airport
AKF,Kufra Airport
AKG,Anguganak Airport
AKH,Prince Sultan Air Base
AKI,Akiak Airport
AKJ,Asahikawa Airport
AKK,Akhiok Airport
AKL,Auckland Airport
AKM,Zakouma Airport
AKN,King Salmon Airport
AKO,Colorado Plains Regional Airport
